Changed database context to 'QuotesLab'.
AuthorId|FullName|QuoteCount|MostRecentQuote|MostRecentQuoteAt
--------|--------|----------|---------------|-----------------
10|Edsger W. Dijkstra|12|Elegance is what remains once the special cases are understood.|2026-08-16 09:10:00
11|Donald Knuth|9|Analysis without a machine is a hypothesis.|2026-08-14 13:00:00
14|C. A. R. Hoare|7|The average of a good algorithm still has a bad day.|2026-08-15 07:50:00
15|Frederick P. Brooks Jr.|7|Documentation is the part of a design that outlives the designer.|2026-08-12 14:05:00
5|Mark Twain|6|Travel cures certainty faster than argument.|2026-08-09 10:50:00
8|Alan Turing|5|A question worth asking survives a precise phrasing.|2026-08-11 07:30:00
12|Barbara Liskov|5|The interface is the contract; the code is only evidence.|2026-08-08 08:05:00
13|Leslie Lamport|5|Consensus is expensive because disagreement is cheap.|2026-08-10 16:35:00
1|Aristotle|4|Naming a thing well is half of understanding it.|2026-07-22 16:40:00
9|Grace Hopper|4|A nanosecond is a length before it is a duration.|2026-08-13 15:20:00
3|Marcus Aurelius|4|Complaint is the most expensive way to pass time.|2026-08-05 05:55:00
2|Confucius|3|Ask the question you are afraid answers you.|2026-08-02 18:15:00
4|Jane Austen|3|A good sentence earns its second clause.|2026-07-30 11:20:00
6|Ada Lovelace|2|Notation is the first optimisation.|2026-07-04 10:00:00
7|Marie Curie|2|Curiosity outlasts funding, which is why it is dangerous.|2026-07-13 14:10:00
16|Emmy Noether|1|Every symmetry is a conservation law waiting to be named.|2026-06-21 10:30:00
17|Hypatia|0|NULL|NULL
18|Seneca|0|NULL|NULL
19|Sun Tzu|0|NULL|NULL
